(i=   2, value= 76, column= 0, row= 0, color= -10066330, pixel_value   2 =  76),
(i=   3, value= 80, column= 1, row= 0, color= -10592674, pixel_value   3 =  80),
(i=   4, value= 77, column= 2, row= 0, color= -10197916, pixel_value   4 =  77),
(i=   5, value= 82, column= 3, row= 0, color= -10855846, pixel_value   5 =  82),
(i=   6, value= 76, column= 4, row= 0, color= -10066330, pixel_value   6 =  76),
(i=   7, value= 76, column= 5, row= 0, color= -10066330, pixel_value   7 =  76),
(i=   8, value= 72, column= 6, row= 0, color=  -9539986, pixel_value   8 =  72),
(i=   9, value= 71, column= 7, row= 0, color=  -9408400, pixel_value   9 =  71),
(i=  10, value= 77, column= 8, row= 0, color= -10197916, pixel_value  10 =  77),
(i=  11, value= 77, column= 9, row= 0, color= -10197916, pixel_value  11 =  77),
(i=  12, value= 78, column=10, row= 0, color= -10329502, pixel_value  12 =  78),
(i=  13, value= 75, column=11, row= 0, color=  -9934744, pixel_value  13 =  75),
(i=  14, value= 76, column=12, row= 0, color= -10066330, pixel_value  14 =  76),
(i=  15, value= 74, column=13, row= 0, color=  -9803158, pixel_value  15 =  74),
(i=  16, value= 76, column=14, row= 0, color= -10066330, pixel_value  16 =  76),
(i=  17, value= 76, column=15, row= 0, color= -10066330, pixel_value  17 =  76),
(i=  18, value= 75, column=16, row= 0, color=  -9934744, pixel_value  18 =  75),
(i=  19, value= 72, column=17, row= 0, color=  -9539986, pixel_value  19 =  72),
(i=  20, value= 71, column=18, row= 0, color=  -9408400, pixel_value  20 =  71),
(i=  21, value= 73, column=19, row= 0, color=  -9671572, pixel_value  21 =  73),
(i=  22, value= 75, column=20, row= 0, color=  -9934744, pixel_value  22 =  75),
(i=  23, value= 73, column=21, row= 0, color=  -9671572, pixel_value  23 =  73),
(i=  24, value= 72, column=22, row= 0, color=  -9539986, pixel_value  24 =  72),
(i=  25, value= 69, column=23, row= 0, color=  -9145228, pixel_value  25 =  69),
(i=  26, value= 77, column=24, row= 0, color= -10197916, pixel_value  26 =  77),
(i=  27, value= 77, column=25, row= 0, color= -10197916, pixel_value  27 =  77),
(i=  28, value= 76, column=26, row= 0, color= -10066330, pixel_value  28 =  76),
(i=  29, value= 76, column=27, row= 0, color= -10066330, pixel_value  29 =  76),
(i=  30, value= 77, column=28, row= 0, color= -10197916, pixel_value  30 =  77),
(i=  31, value= 80, column=29, row= 0, color= -10592674, pixel_value  31 =  80),
(i=  32, value= 80, column=30, row= 0, color= -10592674, pixel_value  32 =  80),
(i=  33, value= 75, column=31, row= 0, color=  -9934744, pixel_value  33 =  75),
(i=  34, value= 78, column=32, row= 0, color= -10329502, pixel_value  34 =  78),
(i=  35, value= 74, column=33, row= 0, color=  -9803158, pixel_value  35 =  74),
(i=  36, value= 76, column=34, row= 0, color= -10066330, pixel_value  36 =  76),
(i=  37, value= 77, column=35, row= 0, color= -10197916, pixel_value  37 =  77),
(i=  38, value= 72, column=36, row= 0, color=  -9539986, pixel_value  38 =  72),
(i=  39, value= 73, column=37, row= 0, color=  -9671572, pixel_value  39 =  73),
(i=  40, value= 72, column=38, row= 0, color=  -9539986, pixel_value  40 =  72),
(i=  41, value= 71, column=39, row= 0, color=  -9408400, pixel_value  41 =  71),
(i=  42, value= 72, column=40, row= 0, color=  -9539986, pixel_value  42 =  72),
(i=  43, value= 71, column=41, row= 0, color=  -9408400, pixel_value  43 =  71),
(i=  44, value= 69, column=42, row= 0, color=  -9145228, pixel_value  44 =  69),
(i=  45, value= 68, column=43, row= 0, color=  -9013642, pixel_value  45 =  68),
(i=  46, value= 69, column=44, row= 0, color=  -9145228, pixel_value  46 =  69),
(i=  47, value= 71, column=45, row= 0, color=  -9408400, pixel_value  47 =  71),
(i=  48, value= 72, column=46, row= 0, color=  -9539986, pixel_value  48 =  72),
(i=  49, value= 73, column=47, row= 0, color=  -9671572, pixel_value  49 =  73),
(i=  50, value= 72, column=48, row= 0, color=  -9539986, pixel_value  50 =  72),
(i=  51, value= 67, column=49, row= 0, color=  -8882056, pixel_value  51 =  67),
